Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
8400000.0,Вторичное,опалиха,6.0,Московская область,1.0,43.5,10.2,3.0,8.0,Без ремонта,https://www.cian.ru/sale/flat/291882211
8500000.0,Вторичное,павшино,6.0,Московская область,1.0,44.0,20.0,17.0,17.0,Косметический,https://www.cian.ru/sale/flat/292446073
8500000.0,Вторичное,опалиха,6.0,Московская область,1.0,36.4,9.7,3.0,25.0,Дизайнерский,https://www.cian.ru/sale/flat/292368162
8500000.0,Вторичное,митино,12.0,Московская область,1.0,39.2,10.4,14.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/291304441
8600000.0,Вторичное,опалиха,6.0,Московская область,1.0,48.5,13.5,15.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/293248184
8600000.0,Вторичное,красногорская,10.0,Московская область,1.0,44.0,10.0,5.0,14.0,Евроремонт,https://www.cian.ru/sale/flat/290928378
8700000.0,Вторичное,опалиха,5.0,Московская область,1.0,47.6,11.5,18.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/292330040
8700000.0,Вторичное,павшино,8.0,Московская область,1.0,41.6,18.0,20.0,23.0,Косметический,https://www.cian.ru/sale/flat/293417504
8700000.0,Вторичное,павшино,5.0,Московская область,1.0,37.9,9.8,1.0,12.0,Косметический,https://www.cian.ru/sale/flat/284107168
8700000.0,Вторичное,красногорская,6.0,Московская область,1.0,43.0,11.0,2.0,14.0,Косметический,https://www.cian.ru/sale/flat/291193906
8690000.0,Вторичное,мякинино,16.0,Московская область,1.0,36.3,8.0,4.0,19.0,Без ремонта,https://www.cian.ru/sale/flat/285374504
8875000.0,Вторичное,красногорская,7.0,Московская область,1.0,48.0,13.0,10.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/291770415
8990000.0,Вторичное,красногорская,11.0,Московская область,1.0,46.0,13.0,15.0,16.0,Косметический,https://www.cian.ru/sale/flat/293448511
8999999.0,Вторичное,павшино,8.0,Московская область,1.0,42.9,13.0,1.0,24.0,Дизайнерский,https://www.cian.ru/sale/flat/293028397
8950000.0,Вторичное,аникеевка,6.0,Московская область,1.0,45.0,13.0,8.0,24.0,Евроремонт,https://www.cian.ru/sale/flat/291966400
8900000.0,Вторичное,пенягино,10.0,Московская область,1.0,39.0,10.0,16.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/292262948
8900000.0,Вторичное,мякинино,24.0,Московская область,1.0,40.5,12.0,16.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/291491558
8950000.0,Вторичное,пенягино,12.0,Московская область,1.0,39.7,9.9,10.0,25.0,Косметический,https://www.cian.ru/sale/flat/288650300
9050000.0,Вторичное,павшино,19.0,Московская область,1.0,39.9,8.0,16.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/293887251
9000000.0,Вторичное,строгино,8.0,Московская область,1.0,38.0,15.0,7.0,33.0,Евроремонт,https://www.cian.ru/sale/flat/292681274
9249000.0,Вторичное,павшино,8.0,Московская область,1.0,40.0,20.0,10.0,21.0,Евроремонт,https://www.cian.ru/sale/flat/286368944
9300000.0,Вторичное,опалиха,6.0,Московская область,1.0,46.1,10.4,19.0,24.0,Дизайнерский,https://www.cian.ru/sale/flat/286082366
9300000.0,Вторичное,опалиха,6.0,Московская область,1.0,45.8,12.8,14.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/293745627
9316380.0,Вторичное,аникеевка,3.0,Московская область,1.0,59.34,14.5,3.0,3.0,Без ремонта,https://www.cian.ru/sale/flat/289550412
9300000.0,Вторичное,опалиха,15.0,Московская область,1.0,54.0,12.0,7.0,10.0,Евроремонт,https://www.cian.ru/sale/flat/292629616
9350000.0,Вторичное,аникеевка,6.0,Московская область,1.0,44.6,10.4,19.0,24.0,Евроремонт,https://www.cian.ru/sale/flat/291649565
9400000.0,Вторичное,пенягино,14.0,Московская область,1.0,33.0,6.0,13.0,16.0,Евроремонт,https://www.cian.ru/sale/flat/292957161
9500000.0,Вторичное,пенягино,11.0,Московская область,1.0,42.3,8.5,3.0,16.0,Косметический,https://www.cian.ru/sale/flat/293624148
9500000.0,Вторичное,пенягино,14.0,Московская область,1.0,35.0,20.0,6.0,8.0,Косметический,https://www.cian.ru/sale/flat/292576574
9500000.0,Вторичное,пенягино,10.0,Московская область,1.0,37.7,8.0,8.0,17.0,Косметический,https://www.cian.ru/sale/flat/293719841
9500000.0,Вторичное,пенягино,14.0,Московская область,1.0,35.0,9.5,6.0,8.0,Евроремонт,https://www.cian.ru/sale/flat/291711336
9500000.0,Вторичное,пенягино,9.0,Московская область,1.0,42.0,8.7,7.0,19.0,Евроремонт,https://www.cian.ru/sale/flat/292751782
9500000.0,Вторичное,опалиха,7.0,Московская область,1.0,40.0,13.5,25.0,25.0,Дизайнерский,https://www.cian.ru/sale/flat/293448497
9499999.0,Вторичное,опалиха,16.0,Московская область,1.0,34.6,10.0,5.0,8.0,Дизайнерский,https://www.cian.ru/sale/flat/292652468
9500000.0,Вторичное,опалиха,7.0,Московская область,1.0,40.0,13.5,25.0,25.0,Косметический,https://www.cian.ru/sale/flat/293843556
9499999.0,Вторичное,аникеевка,17.0,Московская область,1.0,42.8,12.7,4.0,6.0,Дизайнерский,https://www.cian.ru/sale/flat/291553790
9500000.0,Вторичное,пенягино,7.0,Московская область,1.0,37.8,6.0,2.0,17.0,Косметический,https://www.cian.ru/sale/flat/293385472
