const,Количество комнат,Площадь,Цена
1.0,4.0,187.0,180000000.0
1.0,4.0,111.2,56000000.0
1.0,4.0,145.0,59900000.0
1.0,4.0,105.0,65000000.0
1.0,4.0,184.5,70000000.0
1.0,4.0,132.9,78500000.0
1.0,4.0,132.0,81700000.0
1.0,4.0,118.0,104500000.0
1.0,4.0,121.0,120000000.0
1.0,4.0,167.0,144500000.0
1.0,4.0,170.0,163990000.0
1.0,4.0,116.0,61488700.0
1.0,4.0,185.0,70000000.0
1.0,4.0,165.0,74700000.0
1.0,4.0,184.5,70000000.0
1.0,4.0,85.8,62970000.0
1.0,4.0,110.0,82400000.0
1.0,4.0,195.2,176400000.0
1.0,4.0,122.0,43000000.0
1.0,4.0,105.0,72100000.0
1.0,4.0,116.0,80000000.0
1.0,4.0,117.0,82000000.0
1.0,4.0,160.0,85000000.0
1.0,4.0,145.2,87000000.0
1.0,4.0,138.2,137000000.0
1.0,4.0,155.8,150000000.0
1.0,4.0,233.0,240000000.0
1.0,4.0,238.0,239000000.0
1.0,4.0,172.0,240000000.0
1.0,4.0,237.0,300000000.0
1.0,4.0,153.0,46500000.0
1.0,4.0,144.0,56000000.0
1.0,4.0,160.0,60000000.0
1.0,4.0,92.0,61990000.0
1.0,4.0,189.2,85000000.0
1.0,4.0,170.0,84800000.0
1.0,4.0,131.1,85900000.0
1.0,4.0,155.0,95000000.0
1.0,4.0,140.0,153000000.0
1.0,4.0,149.0,160000000.0
1.0,4.0,158.0,163000000.0
1.0,4.0,184.0,165000000.0
1.0,4.0,136.0,243250000.0
1.0,4.0,146.5,43400000.0
1.0,4.0,100.0,52500000.0
1.0,4.0,186.0,85000000.0
1.0,4.0,130.0,109900000.0
1.0,4.0,162.1,202625000.0
1.0,4.0,201.6,400000000.0
1.0,4.0,144.2,80000000.0
1.0,4.0,207.0,450000000.0
1.0,4.0,160.0,78500000.0
1.0,4.0,185.2,110000000.0
1.0,4.0,200.5,119000000.0
1.0,4.0,108.0,59500000.0
1.0,4.0,136.5,120000000.0
1.0,4.0,181.4,159500000.0
1.0,4.0,97.0,32700000.0
1.0,4.0,134.3,47000000.0
1.0,4.0,98.0,51988700.0
1.0,4.0,107.7,52000000.0
1.0,4.0,147.4,70000000.0
1.0,4.0,157.0,74000000.0
1.0,4.0,137.6,79900000.0
1.0,4.0,141.3,98500000.0
1.0,4.0,226.2,109990000.0
1.0,4.0,200.0,119000000.0
1.0,4.0,137.0,164844000.0
1.0,4.0,225.0,209250000.0
1.0,4.0,178.0,235000000.0
1.0,4.0,426.0,532500000.0
1.0,4.0,87.1,19800000.0
1.0,4.0,102.0,42200000.0
1.0,4.0,95.6,48500000.0
1.0,4.0,95.8,48999000.0
1.0,4.0,108.0,47000000.0
1.0,4.0,132.3,80900000.0
1.0,4.0,168.0,119000000.0
1.0,4.0,143.0,150000000.0
1.0,4.0,170.0,204000000.0
1.0,4.0,89.8,18800000.0
1.0,4.0,102.4,47900000.0
1.0,4.0,131.1,85900000.0
1.0,4.0,215.0,91200000.0
1.0,4.0,158.0,102990000.0
1.0,4.0,167.8,120000000.0
1.0,4.0,192.0,130000000.0
1.0,4.0,182.0,165000000.0
1.0,4.0,137.0,164844000.0
1.0,4.0,136.6,169000000.0
1.0,4.0,131.0,242000000.0
1.0,4.0,132.0,243000000.0
1.0,4.0,101.0,44999000.0
1.0,4.0,143.0,62999000.0
1.0,4.0,145.5,75000000.0
1.0,4.0,84.97,79000000.0
1.0,4.0,111.0,83000000.0
1.0,5.0,162.7,225000000.0
1.0,5.0,238.0,261800000.0
1.0,5.0,235.6,342000000.0
1.0,5.0,270.0,249990000.0
1.0,5.0,370.0,275000000.0
1.0,5.0,227.5,341000000.0
1.0,5.0,122.4,49000000.0
1.0,5.0,164.4,69500000.0
1.0,5.0,305.0,350000000.0
1.0,5.0,303.0,380000000.0
1.0,5.0,162.0,145000000.0
1.0,5.0,200.0,249000000.0
1.0,5.0,285.0,330000000.0
1.0,5.0,284.0,340000000.0
1.0,5.0,134.7,60000000.0
1.0,5.0,210.2,270000000.0
1.0,5.0,209.0,271700000.0
1.0,5.0,172.0,135000000.0
1.0,5.0,300.0,214990000.0
1.0,5.0,208.9,271700000.0
1.0,5.0,214.9,93000000.0
1.0,5.0,218.3,160000000.0
1.0,5.0,219.0,160000000.0
1.0,5.0,131.0,87000000.0
1.0,5.0,250.0,250000000.0
1.0,5.0,125.0,116000000.0
1.0,5.0,153.5,150000000.0
1.0,5.0,300.0,450000000.0
1.0,5.0,165.0,145000000.0
1.0,5.0,150.0,66900000.0
1.0,5.0,253.8,470000000.0
1.0,5.0,136.8,67000000.0
1.0,5.0,215.0,145000000.0
1.0,5.0,95.0,56000000.0
1.0,5.0,135.0,83999000.0
1.0,5.0,190.2,159500000.0
1.0,5.0,142.0,55000000.0
1.0,5.0,158.0,90000000.0
1.0,5.0,161.0,145000000.0
1.0,5.0,216.6,145000000.0
1.0,5.0,220.0,149000000.0
1.0,5.0,136.0,68000000.0
1.0,5.0,133.0,77000000.0
1.0,5.0,185.0,203500000.0
1.0,5.0,230.0,260000000.0
1.0,5.0,201.6,400000000.0
1.0,5.0,235.8,180000000.0
1.0,5.0,296.0,382500000.0
1.0,5.0,173.0,93000000.0
1.0,5.0,320.0,720000000.0
1.0,5.0,173.0,90000000.0
1.0,5.0,182.0,123490000.0
1.0,5.0,282.0,250000000.0
1.0,5.0,209.0,271700000.0
1.0,5.0,150.0,57500000.0
1.0,5.0,150.0,64999000.0
1.0,5.0,206.0,90000000.0
1.0,5.0,280.0,137200000.0
1.0,5.0,242.0,149000000.0
1.0,5.0,552.0,190000000.0
1.0,5.0,282.0,250000000.0
1.0,5.0,191.0,295554000.0
1.0,5.0,136.0,61488700.0
1.0,5.0,137.0,100899000.0
1.0,5.0,150.0,120000000.0
1.0,5.0,245.0,275000000.0
1.0,5.0,238.2,297000000.0
1.0,5.0,188.4,359999965.0
1.0,5.0,134.0,56988700.0
1.0,5.0,129.0,82000000.0
1.0,5.0,189.0,89000000.0
1.0,5.0,183.0,124990000.0
1.0,5.0,170.1,204120000.0
1.0,5.0,191.0,295554000.0
1.0,5.0,308.3,550000000.0
1.0,5.0,200.0,71999000.0
1.0,5.0,188.0,89000000.0
1.0,5.0,190.4,170000000.0
1.0,5.0,206.3,240680000.0
1.0,5.0,120.0,48000000.0
1.0,5.0,208.6,77000000.0
1.0,5.0,225.0,94000000.0
1.0,5.0,170.0,119000000.0
1.0,5.0,175.0,125000000.0
1.0,5.0,288.0,160000000.0
1.0,5.0,238.4,180000000.0
1.0,5.0,198.8,180000000.0
1.0,5.0,289.0,243000000.0
1.0,5.0,208.0,271000000.0
1.0,5.0,305.0,325000000.0
1.0,5.0,227.0,341000000.0
1.0,5.0,125.0,54900000.0
1.0,5.0,136.0,69000000.0
1.0,5.0,190.0,99844800.0
1.0,5.0,200.0,179000000.0
1.0,5.0,289.0,242970000.0
1.0,5.0,192.3,120000000.0
1.0,5.0,200.8,400000000.0
1.0,5.0,260.0,450000000.0
1.0,5.0,135.0,60000000.0
1.0,5.0,198.8,180000000.0
1.0,5.0,202.0,330000000.0
