Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Новостройка,битца,12.0,Московская область,2.0,50.1,9.3,20.0,9.0,Косметический,6317707.0
Новостройка,битца,12.0,Московская область,1.0,36.0,14.3,24.0,9.0,Косметический,4789343.0
Новостройка,битца,12.0,Московская область,4.0,86.6,10.5,24.0,9.0,Косметический,10444796.0
Новостройка,депо,19.0,Москва,1.0,44.56,18.5,8.0,11.0,Косметический,7976240.0
Новостройка,депо,19.0,Москва,1.0,37.5,11.3,11.0,11.0,Косметический,6937500.0
Новостройка,депо,19.0,Москва,1.0,37.5,11.3,12.0,11.0,Косметический,6937500.0
Новостройка,депо,19.0,Москва,3.0,71.4,10.0,16.0,11.0,Косметический,10067400.0
Новостройка,депо,19.0,Москва,2.0,55.85,9.0,22.0,11.0,Косметический,8712600.0
Новостройка,депо,19.0,Москва,1.0,37.5,11.3,23.0,11.0,Косметический,7087500.0
Новостройка,депо,19.0,Москва,0.0,28.61,9.0,24.0,11.0,Косметический,5664780.0
Новостройка,депо,19.0,Москва,0.0,28.68,9.0,9.0,11.0,Косметический,5449200.0
Новостройка,депо,19.0,Москва,1.0,43.95,12.0,11.0,11.0,Косметический,8042850.0
Новостройка,депо,19.0,Москва,0.0,27.4,8.9,13.0,11.0,Косметический,5178600.0
Новостройка,депо,19.0,Москва,2.0,63.25,17.9,16.0,11.0,Косметический,9803750.0
Новостройка,депо,19.0,Москва,1.0,35.15,8.8,17.0,11.0,Косметический,6643350.0
Новостройка,депо,19.0,Москва,1.0,44.56,18.5,20.0,11.0,Косметический,8332720.0
Новостройка,депо,19.0,Москва,0.0,28.68,9.0,2.0,11.0,Косметический,5449200.0
Новостройка,депо,19.0,Москва,1.0,36.9,11.2,3.0,11.0,Косметический,6568200.0
Новостройка,депо,19.0,Москва,1.0,43.95,12.0,7.0,11.0,Косметический,7647300.0
Новостройка,депо,19.0,Москва,0.0,27.15,8.9,15.0,11.0,Косметический,5267100.0
Новостройка,депо,19.0,Москва,1.0,37.4,11.0,4.0,11.0,Косметический,6844200.0
Новостройка,депо,19.0,Москва,3.0,87.46,15.3,15.0,11.0,Косметический,12069480.0
Новостройка,депо,19.0,Москва,1.0,46.17,18.7,8.0,11.0,Косметический,8264430.0
Новостройка,депо,19.0,Москва,1.0,35.6,8.8,14.0,11.0,Косметический,6586000.0
Новостройка,депо,19.0,Москва,3.0,71.85,10.2,15.0,11.0,Косметический,10059000.0
Новостройка,депо,19.0,Москва,2.0,63.65,17.9,15.0,11.0,Косметический,9356550.0
Новостройка,депо,19.0,Москва,1.0,35.6,8.8,16.0,11.0,Косметический,6728400.0
Новостройка,депо,19.0,Москва,2.0,67.2,10.5,17.0,11.0,Косметический,10416000.0
Новостройка,депо,19.0,Москва,2.0,63.65,17.9,18.0,11.0,Косметический,9865750.0
Новостройка,депо,19.0,Москва,2.0,67.2,10.5,19.0,11.0,Косметический,10416000.0
Новостройка,депо,19.0,Москва,2.0,67.35,14.2,20.0,11.0,Косметический,10439250.0
Новостройка,депо,19.0,Москва,0.0,27.85,8.9,22.0,11.0,Косметический,5514300.0
Новостройка,депо,19.0,Москва,2.0,67.2,10.5,23.0,11.0,Косметический,10080000.0
Новостройка,депо,19.0,Москва,3.0,71.85,10.2,25.0,11.0,Косметический,10130850.0
Новостройка,депо,19.0,Москва,2.0,63.65,17.9,25.0,11.0,Косметический,9865750.0
Новостройка,депо,19.0,Москва,1.0,36.9,11.2,2.0,11.0,Косметический,6752700.0
Новостройка,депо,19.0,Москва,1.0,44.08,18.5,4.0,11.0,Косметический,7890320.0
Новостройка,депо,19.0,Москва,1.0,43.0,13.5,6.0,11.0,Косметический,7697000.0
Новостройка,депо,19.0,Москва,0.0,27.25,8.9,7.0,11.0,Косметический,5177500.0
Новостройка,депо,19.0,Москва,1.0,43.0,13.5,8.0,11.0,Косметический,7697000.0
Новостройка,депо,19.0,Москва,1.0,36.9,11.2,11.0,11.0,Косметический,6826500.0
Новостройка,депо,19.0,Москва,1.0,44.08,18.5,12.0,11.0,Косметический,8066640.0
Новостройка,депо,19.0,Москва,1.0,33.8,8.7,14.0,11.0,Косметический,6084000.0
Новостройка,депо,19.0,Москва,1.0,39.15,16.7,14.0,11.0,Косметический,7242750.0
Новостройка,депо,19.0,Москва,1.0,38.52,10.0,13.0,11.0,Косметический,7126200.0
Новостройка,депо,19.0,Москва,2.0,56.31,9.0,20.0,11.0,Косметический,8784360.0
Новостройка,депо,19.0,Москва,1.0,35.15,8.9,5.0,11.0,Косметический,6432450.0
Новостройка,депо,19.0,Москва,0.0,27.15,8.9,12.0,11.0,Косметический,5267100.0
Новостройка,депо,19.0,Москва,0.0,28.61,9.0,8.0,11.0,Косметический,5435900.0
Новостройка,депо,19.0,Москва,0.0,27.4,8.9,14.0,11.0,Косметический,5315600.0
Новостройка,депо,19.0,Москва,0.0,31.1,9.2,3.0,11.0,Косметический,5753500.0
Новостройка,депо,19.0,Москва,0.0,27.85,8.9,13.0,11.0,Косметический,5402900.0
Новостройка,депо,19.0,Москва,0.0,27.25,8.9,3.0,11.0,Косметический,5177500.0
Новостройка,депо,19.0,Москва,0.0,27.15,8.9,13.0,11.0,Косметический,5267100.0
Новостройка,депо,19.0,Москва,0.0,27.05,8.9,4.0,11.0,Косметический,5004250.0
Новостройка,депо,19.0,Москва,0.0,28.29,9.0,5.0,11.0,Косметический,5375100.0
Новостройка,депо,19.0,Москва,0.0,27.25,8.9,5.0,11.0,Косметический,5041250.0
Новостройка,депо,19.0,Москва,0.0,28.68,9.0,10.0,11.0,Косметический,5449200.0
