Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
185,11.0,2.0,64.0,10.0,14.0,20.0,1,0,0,1,0,0,1,0,13990000.0
185,9.0,2.0,61.0,12.0,16.0,17.0,1,0,0,1,0,0,1,0,14300000.0
180,3.0,2.0,88.0,15.0,17.0,25.0,1,0,0,1,0,0,1,0,15500000.0
53,15.0,2.0,60.0,10.0,23.0,29.0,1,0,0,1,0,0,1,0,15991000.0
138,6.0,2.0,72.2,14.7,10.0,18.0,1,0,0,1,0,0,1,0,16400000.0
99,15.0,2.0,36.94,5.0,19.0,23.0,1,0,0,1,1,0,0,0,8200000.0
173,12.0,2.0,58.0,15.0,23.0,26.0,1,0,0,1,0,0,0,1,9600000.0
180,13.0,2.0,57.0,10.0,2.0,5.0,1,0,0,1,0,0,0,1,11300000.0
185,14.0,2.0,38.8,9.0,18.0,16.0,1,0,0,1,0,0,1,0,11500000.0
244,8.0,2.0,48.0,10.0,13.0,33.0,1,0,0,1,0,0,1,0,11500000.0
185,18.0,2.0,44.0,10.0,3.0,16.0,1,0,0,1,0,0,1,0,11950000.0
145,20.0,2.0,43.5,11.0,19.0,23.0,1,0,0,1,0,1,0,0,12300000.0
99,6.0,2.0,57.9,11.4,12.0,17.0,1,0,0,1,0,0,0,1,12400000.0
173,11.0,2.0,49.6,9.0,3.0,7.0,1,0,0,1,0,1,0,0,12400000.0
185,16.0,2.0,40.4,10.0,8.0,16.0,1,0,0,1,0,1,0,0,12450000.0
173,12.0,2.0,73.2,20.8,8.0,9.0,1,0,0,1,0,0,1,0,13300000.0
185,16.0,2.0,43.0,10.2,20.0,16.0,1,0,0,1,0,1,0,0,13760000.0
9,7.0,2.0,80.0,14.0,13.0,24.0,1,0,0,1,0,0,1,0,13800000.0
145,26.0,2.0,60.0,14.0,14.0,25.0,1,0,0,1,0,1,0,0,14500000.0
185,6.0,2.0,65.0,14.0,10.0,26.0,1,0,0,1,0,0,1,0,14500000.0
145,20.0,2.0,71.1,15.0,2.0,22.0,1,0,0,1,0,0,1,0,15399000.0
145,14.0,2.0,82.5,22.0,15.0,24.0,1,0,0,1,0,0,1,0,15800000.0
145,16.0,2.0,73.2,16.0,20.0,20.0,1,0,0,1,0,0,0,1,16000000.0
173,7.0,2.0,41.0,5.0,2.0,2.0,1,0,0,1,0,0,0,1,5550000.0
173,16.0,2.0,43.6,6.0,4.0,4.0,1,0,0,1,0,0,0,1,6500000.0
173,4.0,2.0,33.3,8.0,2.0,8.0,1,0,0,1,0,0,0,1,6600000.0
